Nom avec article;Code commune;Département;Code postal;Longitude;Latitude
Amagney;25014;Doubs;25220;6.153282;47.307249
Amancey;25015;Doubs;25330;6.071449;47.0383127
Amathay-Vésigneux;25016;Doubs;25330;6.199278;47.024017
Amondans;25017;Doubs;25330;6.039187;47.068521
Anteuil;25018;Doubs;25340;6.564134;47.38708
Appenans;25019;Doubs;25250;6.565698;47.443668
Arbouans;25020;Doubs;25400;6.809189;47.4879724
Arc-et-Senans;25021;Doubs;25610;5.77872991562;47.0317001343
Arcey;25022;Doubs;25750;6.6606128;47.5212729
Arçon;25024;Doubs;25300;6.3776241;46.9475154
Arc-sous-Cicon;25025;Doubs;25520;6.379986;47.051411
Arc-sous-Montenot;25026;Doubs;25270;5.998827;46.912332
Aubonne;25029;Doubs;25520;6.32740020752;47.0354995728
Audeux;25030;Doubs;25170;5.872726;47.262418
Audincourt;25031;Doubs;25036;;
Autechaux;25032;Doubs;25110;6.3849837;47.3786296
Autechaux-Roide;25033;Doubs;25150;6.8154445;47.3916871
Auxon-Dessous;25034;;;;
Les Auxons;25035;Doubs;25870;5.9707435;47.3005628
Auxon-Dessus;25035;;25870;5.9707435;47.3005628
Avanne-Aveney;25036;Doubs;25720;5.9671998024;47.2060012817
Avilley;25038;Doubs;25680;6.266004;47.426806
Avoudrey;25039;Doubs;25690;6.43466997147;47.1380996704
Badevel;25040;Doubs;25490;6.93941020966;47.5001983643
Bannans;25041;Doubs;25560;6.23529005051;46.8869018555
Le Barboux;25042;Doubs;25210;6.717598;47.120817
Bart;25043;Doubs;25420;6.77159023285;47.4917984009
Bartherans;25044;Doubs;25440;5.928427;47.041608
Battenans-les-Mines;25045;Doubs;25640;6.270353;47.409356
Battenans-Varin;25046;Doubs;25380;6.711612;47.248062
Baume-les-Dames;25047;Doubs;25110;6.36172008514;47.3529014587
Bavans;25048;Doubs;25550;6.72912979126;47.4836006165
Belfays;25049;Doubs;25470;6.8956434;47.259853
Le Bélieu;25050;Doubs;25500;6.635448;47.11915
Belleherbe;25051;Doubs;25380;6.65683;47.26572
Belmont;25052;Doubs;25530;6.365812;47.220044
Belvoir;25053;Doubs;25430;6.60736989975;47.3156013489
Berche;25054;Doubs;25420;6.74168014526;47.4743995667
Berthelange;25055;Doubs;25410;5.778786;47.198056
Besançon;25056;Doubs;25030;5.9930832;47.2472417
Bethoncourt;25057;Doubs;25200;6.79638004303;47.5340003967
Beure;25058;Doubs;25720;6.0040815;47.2078268
Beutal;25059;Doubs;25250;6.64031840000007;47.4703275
Bians-les-Usiers;25060;Doubs;25520;6.268461;46.960783
Bief;25061;Doubs;25190;6.7668643;47.3273623
Le Bizot;25062;Doubs;25210;6.6698208;47.1348253
Blamont;25063;Doubs;25310;6.8478636;47.3860738
